0.8231 <- ,  --- 10:36:03
1.0431 <- ,  --- 10:36:03
0.8491 <- ,  --- 10:36:03
1.0641 <- ,  --- 10:36:03
1.1853 <- ,  --- 10:36:03
0.8442 <- ,  --- 10:36:03
0.8733 <- ,  --- 10:36:03
1.1125 <- ,  --- 10:36:03
0.9246 <- ,  --- 10:36:03
0.909 <- ,  --- 10:36:04
0.9422 <- ,  --- 10:36:04
0.9417 <- ,  --- 10:36:04
0.9726 <- ,  --- 10:36:04
1.2506 <- ,  --- 10:36:04
0.9715 <- ,  --- 10:36:04
1.1332 <- ,  --- 10:36:04
0.9911 <- ,  --- 10:36:04
1.02 <- ,  --- 10:36:04
1.0171 <- ,  --- 10:36:04
1.2493 <- ,  --- 10:36:04
1.0441 <- ,  --- 10:36:04
1.0432 <- ,  --- 10:36:04
1.2785 <- ,  --- 10:36:04
1.4088 <- ,  --- 10:36:04
1.3021 <- ,  --- 10:36:04
1.4315 <- ,  --- 10:36:04
1.141 <- ,  --- 10:36:04
1.4692 <- ,  --- 10:36:04
1.353 <- ,  --- 10:36:04

1.5092 <- ,  --- 10:36:04
1.3941 <- ,  --- 10:36:04
1.1723 <- ,  --- 10:36:04
1.5332 <- ,  --- 10:36:04
1.4958 <- ,  --- 10:36:04
1.308 <- ,  --- 10:36:04
1.6217 <- ,  --- 10:36:04
1.2888 <- ,  --- 10:36:04
1.6649 <- ,  --- 10:36:04
1.7489 <- ,  --- 10:36:04
1.6849 <- ,  --- 10:36:04
1.3694 <- ,  --- 10:36:04
1.8634 <- ,  --- 10:36:04
0.6732 <- ,  --- 10:36:04
0.7232 <- ,  --- 10:36:05
0.8267 <- ,  --- 10:36:05
0.8418 <- ,  --- 10:36:05
0.8428 <- ,  --- 10:36:05
0.8614 <- ,  --- 10:36:05
0.8772 <- ,  --- 10:36:05
0.9217 <- ,  --- 10:36:05
0.961 <- ,  --- 10:36:05
0.9857 <- ,  --- 10:36:05
1.0069 <- ,  --- 10:36:05
